開国	名詞,サ変接続,*,*,*,*,開国,カイコク,カイコク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ
、	記号,読点,*,*,*,*,、,、,、
イノベーション	名詞,一般,*,*,*,*,イノベーション,イノベーション,イノベーション
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
湧き	動詞,自立,*,*,五段・カ行イ音便,連用形,湧く,ワキ,ワキ
起こる	動詞,自立,*,*,五段・ラ行,基本形,起こる,オコル,オコル
はず	名詞,非自立,一般,*,*,*,はず,ハズ,ハズ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
「	記号,括弧開,*,*,*,*,「,「,「
一	名詞,数,*,*,*,*,一,イチ,イチ
億	名詞,数,*,*,*,*,億,オク,オク
総	接頭詞,名詞接続,*,*,*,*,総,ソウ,ソー
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
」	記号,括弧閉,*,*,*,*,」,」,」
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
挑戦	名詞,サ変接続,*,*,*,*,挑戦,チョウセン,チョーセン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
最も	副詞,一般,*,*,*,*,最も,モットモ,モットモ
重要	名詞,形容動詞語幹,*,*,*,*,重要,ジュウヨウ,ジューヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
一人ひとり	名詞,一般,*,*,*,*,一人ひとり,ヒトリヒトリ,ヒトリヒトリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事情	名詞,一般,*,*,*,*,事情,ジジョウ,ジジョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応じ	動詞,自立,*,*,一段,連用形,応じる,オウジ,オージ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
、	記号,読点,*,*,*,*,、,、,、
多様	名詞,形容動詞語幹,*,*,*,*,多様,タヨウ,タヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
働き	動詞,自立,*,*,五段・カ行イ音便,連用形,働く,ハタラキ,ハタラキ
方	名詞,接尾,特殊,*,*,*,方,カタ,カタ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
可能	名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
変革	名詞,サ変接続,*,*,*,*,変革,ヘンカク,ヘンカク
。	記号,句点,*,*,*,*,。,。,。
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
、	記号,読点,*,*,*,*,、,、,、
ワーク・ライフ・バランス	名詞,固有名詞,一般,*,*,*,ワーク・ライフ・バランス,ワークライフバランス,ワークライフバランス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確保	名詞,サ変接続,*,*,*,*,確保,カクホ,カクホ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
労働時間	名詞,固有名詞,一般,*,*,*,労働時間,ロウドウジカン,ロウドウジカン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
画一	名詞,一般,*,*,*,*,画一,カクイツ,カクイツ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
枠	名詞,一般,*,*,*,*,枠,ワク,ワク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
はめる	動詞,自立,*,*,一段,基本形,はめる,ハメル,ハメル
、	記号,読点,*,*,*,*,、,、,、
従来	名詞,副詞可能,*,*,*,*,従来,ジュウライ,ジューライ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
労働	名詞,サ変接続,*,*,*,*,労働,ロウドウ,ロードー
制度	名詞,一般,*,*,*,*,制度,セイド,セイド
、	記号,読点,*,*,*,*,、,、,、
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
発想	名詞,サ変接続,*,*,*,*,発想,ハッソウ,ハッソー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
大きく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク
改め	動詞,自立,*,*,一段,連用形,改める,アラタメ,アラタメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いか	動詞,非自立,*,*,五段・カ行促音便,未然形,いく,イカ,イカ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なり	動詞,非自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
フレックス	名詞,一般,*,*,*,*,フレックス,フレックス,フレックス
タイム	名詞,一般,*,*,*,*,タイム,タイム,タイム
制度	名詞,一般,*,*,*,*,制度,セイド,セイド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
拡充	名詞,サ変接続,*,*,*,*,拡充,カクジュウ,カクジュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
専門性	名詞,固有名詞,一般,*,*,*,専門性,センモンセイ,センモンセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
成果	名詞,一般,*,*,*,*,成果,セイカ,セイカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
労働	名詞,サ変接続,*,*,*,*,労働,ロウドウ,ロードー
制度	名詞,一般,*,*,*,*,制度,セイド,セイド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
選択	名詞,サ変接続,*,*,*,*,選択,センタク,センタク
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
時間外労働	名詞,固有名詞,一般,*,*,*,時間外労働,ジカンガイロウドウ,ジカンガイロウドー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
割増賃金	名詞,固有名詞,一般,*,*,*,割増賃金,ワリマシチンギン,ワリマシチンギン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
引上げ	名詞,サ変接続,*,*,*,*,引上げ,ヒキアゲ,ヒキアゲ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
長時間労働	名詞,固有名詞,一般,*,*,*,長時間労働,チョウジカンロウドウ,チョウジカンロウドー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
抑制	名詞,サ変接続,*,*,*,*,抑制,ヨクセイ,ヨクセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
更に	副詞,助詞類接続,*,*,*,*,更に,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
年次有給休暇	名詞,固有名詞,一般,*,*,*,年次有給休暇,ネンジユウキュウキュウカ,ネンジユウキュウキュウカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確実	名詞,形容動詞語幹,*,*,*,*,確実,カクジツ,カクジツ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
取得	名詞,サ変接続,*,*,*,*,取得,シュトク,シュトク
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
仕組み	名詞,一般,*,*,*,*,仕組み,シクミ,シクミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
創り	動詞,自立,*,*,五段・ラ行,連用形,創る,ツクリ,ツクリ
、	記号,読点,*,*,*,*,、,、,、
働き	動詞,自立,*,*,五段・カ行イ音便,連用形,働く,ハタラキ,ハタラキ
過ぎ	動詞,非自立,*,*,一段,連用形,過ぎる,スギ,スギ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
防ぎ	動詞,自立,*,*,五段・ガ行,連用形,防ぐ,フセギ,フセギ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
づくり	名詞,接尾,一般,*,*,*,づくり,ヅクリ,ズクリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
加速	名詞,サ変接続,*,*,*,*,加速,カソク,カソク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
妊娠	名詞,サ変接続,*,*,*,*,妊娠,ニンシン,ニンシン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
出産	名詞,サ変接続,*,*,*,*,出産,シュッサン,シュッサン
、	記号,読点,*,*,*,*,、,、,、
育児休業	名詞,固有名詞,一般,*,*,*,育児休業,イクジキュウギョウ,イクジキュウギョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
理由	名詞,一般,*,*,*,*,理由,リユウ,リユー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
、	記号,読点,*,*,*,*,、,、,、
上司	名詞,一般,*,*,*,*,上司,ジョウシ,ジョーシ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
同僚	名詞,一般,*,*,*,*,同僚,ドウリョウ,ドーリョー
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
嫌がらせ	名詞,一般,*,*,*,*,嫌がらせ,イヤガラセ,イヤガラセ
、	記号,読点,*,*,*,*,、,、,、
いわゆる	連体詞,*,*,*,*,*,いわゆる,イワユル,イワユル
「	記号,括弧開,*,*,*,*,「,「,「
マタハラ	名詞,固有名詞,一般,*,*,*,マタハラ,マタハラ,マタハラ
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
防止	名詞,サ変接続,*,*,*,*,防止,ボウシ,ボーシ
措置	名詞,サ変接続,*,*,*,*,措置,ソチ,ソチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
事業者	名詞,固有名詞,一般,*,*,*,事業者,ジギョウシャ,ジギョウシャ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
義務付け	動詞,自立,*,*,一段,連用形,義務付ける,ギムヅケ,ギムズケ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
男性	名詞,一般,*,*,*,*,男性,ダンセイ,ダンセイ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
育児休業	名詞,固有名詞,一般,*,*,*,育児休業,イクジキュウギョウ,イクジキュウギョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
積極	名詞,形容動詞語幹,*,*,*,*,積極,セッキョク,セッキョク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
促す	動詞,自立,*,*,五段・サ行,基本形,促す,ウナガス,ウナガス
事業	名詞,一般,*,*,*,*,事業,ジギョウ,ジギョー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
助成金	名詞,固有名詞,一般,*,*,*,助成金,ジョセイキン,ジョセイキン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
創設	名詞,サ変接続,*,*,*,*,創設,ソウセツ,ソーセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
障害者	名詞,固有名詞,一般,*,*,*,障害者,ショウガイシャ,ショウガイシャ
総合	名詞,サ変接続,*,*,*,*,総合,ソウゴウ,ソーゴー
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
法	名詞,接尾,一般,*,*,*,法,ホウ,ホー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
改正	名詞,サ変接続,*,*,*,*,改正,カイセイ,カイセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
障害者	名詞,固有名詞,一般,*,*,*,障害者,ショウガイシャ,ショウガイシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
自立	名詞,サ変接続,*,*,*,*,自立,ジリツ,ジリツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
送り	動詞,自立,*,*,五段・ラ行,連用形,送る,オクリ,オクリ
、	記号,読点,*,*,*,*,、,、,、
職場	名詞,一般,*,*,*,*,職場,ショクバ,ショクバ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
定着	名詞,サ変接続,*,*,*,*,定着,テイチャク,テイチャク
、	記号,読点,*,*,*,*,、,、,、
就業	名詞,サ変接続,*,*,*,*,就業,シュウギョウ,シューギョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
継続	名詞,サ変接続,*,*,*,*,継続,ケイゾク,ケイゾク
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
、	記号,読点,*,*,*,*,、,、,、
きめ細か	名詞,形容動詞語幹,*,*,*,*,きめ細か,キメコマカ,キメコマカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
非正規雇用	名詞,固有名詞,一般,*,*,*,非正規雇用,ヒセイキコヨウ,ヒセイキコヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
均衡	名詞,サ変接続,*,*,*,*,均衡,キンコウ,キンコー
待遇	名詞,サ変接続,*,*,*,*,待遇,タイグウ,タイグー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確保	名詞,サ変接続,*,*,*,*,確保,カクホ,カクホ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
取り組み	動詞,自立,*,*,五段・マ行,連用形,取り組む,トリクミ,トリクミ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
短時間	名詞,副詞可能,*,*,*,*,短時間,タンジカン,タンジカン
労働	名詞,サ変接続,*,*,*,*,労働,ロウドウ,ロードー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
被用者	名詞,一般,*,*,*,*,被用者,ヒヨウシャ,ヒヨーシャ
保険	名詞,一般,*,*,*,*,保険,ホケン,ホケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
適用	名詞,サ変接続,*,*,*,*,適用,テキヨウ,テキヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
拡大	名詞,サ変接続,*,*,*,*,拡大,カクダイ,カクダイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
正社員	名詞,一般,*,*,*,*,正社員,セイシャイン,セイシャイン
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
処遇	名詞,サ変接続,*,*,*,*,処遇,ショグウ,ショグー
改善	名詞,サ変接続,*,*,*,*,改善,カイゼン,カイゼン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進める	動詞,自立,*,*,一段,基本形,進める,ススメル,ススメル
事業	名詞,一般,*,*,*,*,事業,ジギョウ,ジギョー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
キャリアアップ	名詞,固有名詞,一般,*,*,*,キャリアアップ,キャリアアップ,キャリアアップ
助成	名詞,サ変接続,*,*,*,*,助成,ジョセイ,ジョセイ
金	名詞,接尾,一般,*,*,*,金,キン,キン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
拡充	名詞,サ変接続,*,*,*,*,拡充,カクジュウ,カクジュー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
契約社員	名詞,固有名詞,一般,*,*,*,契約社員,ケイヤクシャイン,ケイヤクシャイン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
、	記号,読点,*,*,*,*,、,、,、
原則	名詞,一般,*,*,*,*,原則,ゲンソク,ゲンソク
一	名詞,数,*,*,*,*,一,イチ,イチ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いれ	動詞,非自立,*,*,一段,仮定形,いる,イレ,イレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
、	記号,読点,*,*,*,*,、,、,、
育児休業	名詞,固有名詞,一般,*,*,*,育児休業,イクジキュウギョウ,イクジキュウギョー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
介護	名詞,サ変接続,*,*,*,*,介護,カイゴ,カイゴ
休業	名詞,サ変接続,*,*,*,*,休業,キュウギョウ,キューギョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取得	名詞,サ変接続,*,*,*,*,取得,シュトク,シュトク
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
更に	副詞,助詞類接続,*,*,*,*,更に,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
本年	名詞,副詞可能,*,*,*,*,本年,ホンネン,ホンネン
取りまとめる	動詞,自立,*,*,一段,基本形,取りまとめる,トリマトメル,トリマトメル
「	記号,括弧開,*,*,*,*,「,「,「
ニッポン	名詞,固有名詞,地域,国,*,*,ニッポン,ニッポン,ニッポン
一	名詞,数,*,*,*,*,一,イチ,イチ
億	名詞,数,*,*,*,*,億,オク,オク
総	接頭詞,名詞接続,*,*,*,*,総,ソウ,ソー
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
プラン	名詞,一般,*,*,*,*,プラン,プラン,プラン
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
同一労働同一賃金	名詞,固有名詞,一般,*,*,*,同一労働同一賃金,ドウイツロウドウドウイツチンギン,ドウイツロウドウドウイツチンギン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実現	名詞,サ変接続,*,*,*,*,実現,ジツゲン,ジツゲン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
踏み込む	動詞,自立,*,*,五段・マ行,基本形,踏み込む,フミコム,フミコム
考え	名詞,一般,*,*,*,*,考え,カンガエ,カンガエ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
介護	名詞,サ変接続,*,*,*,*,介護,カイゴ,カイゴ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人生	名詞,一般,*,*,*,*,人生,ジンセイ,ジンセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
犠牲	名詞,一般,*,*,*,*,犠牲,ギセイ,ギセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思わ	動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
済む	動詞,自立,*,*,五段・マ行,基本形,済む,スム,スム
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。	記号,句点,*,*,*,*,。,。,。
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー
訴える	動詞,自立,*,*,一段,基本形,訴える,ウッタエル,ウッタエル
、	記号,読点,*,*,*,*,、,、,、
介護	名詞,サ変接続,*,*,*,*,介護,カイゴ,カイゴ
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
言葉	名詞,一般,*,*,*,*,言葉,コトバ,コトバ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
胸	名詞,一般,*,*,*,*,胸,ムネ,ムネ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
刺さり	動詞,自立,*,*,五段・ラ行,連用形,刺さる,ササリ,ササリ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
介護離職	名詞,固有名詞,一般,*,*,*,介護離職,カイゴリショク,カイゴリショク
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
年間	名詞,一般,*,*,*,*,年間,ネンカン,ネンカン
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
万	名詞,数,*,*,*,*,万,マン,マン
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
超え	動詞,自立,*,*,一段,連用形,超える,コエ,コエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
離職	名詞,サ変接続,*,*,*,*,離職,リショク,リショク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
機	名詞,一般,*,*,*,*,機,キ,キ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
高齢者	名詞,固有名詞,一般,*,*,*,高齢者,コウレイシャ,コウレイシャ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
現役	名詞,一般,*,*,*,*,現役,ゲンエキ,ゲンエキ
世代	名詞,一般,*,*,*,*,世代,セダイ,セダイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
共倒れ	名詞,一般,*,*,*,*,共倒れ,トモダオレ,トモダオレ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
現実	名詞,一般,*,*,*,*,現実,ゲンジツ,ゲンジツ
も	助詞,係助詞,*,*,*,*,も,モ,モ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
