まず	副詞,一般,*,*,*,*,まず,マズ,マズ
数	名詞,数,*,*,*,*,数,スウ,スー
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
二	名詞,数,*,*,*,*,二,ニ,ニ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
%	名詞,サ変接続,*,*,*,*,*
台	名詞,接尾,一般,*,*,*,台,ダイ,ダイ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
引き下げ	動詞,自立,*,*,一段,連用形,引き下げる,ヒキサゲ,ヒキサゲ
、	記号,読点,*,*,*,*,、,、,、
国際的	名詞,固有名詞,一般,*,*,*,国際的,コクサイテキ,コクサイテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
遜色	名詞,一般,*,*,*,*,遜色,ソンショク,ソンショク
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
水準	名詞,一般,*,*,*,*,水準,スイジュン,スイジュン
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
法人税	名詞,固有名詞,一般,*,*,*,法人税,ホウジンゼイ,ホウジンゼイ
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
患者	名詞,一般,*,*,*,*,患者,カンジャ,カンジャ
本位	名詞,一般,*,*,*,*,本位,ホンイ,ホンイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
新た	名詞,形容動詞語幹,*,*,*,*,新た,アラタ,アラタ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
療養	名詞,サ変接続,*,*,*,*,療養,リョウヨウ,リョーヨー
制度	名詞,一般,*,*,*,*,制度,セイド,セイド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
創設	名詞,サ変接続,*,*,*,*,創設,ソウセツ,ソーセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
最先端	名詞,一般,*,*,*,*,最先端,サイセンタン,サイセンタン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
医療	名詞,一般,*,*,*,*,医療,イリョウ,イリョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
受け	動詞,自立,*,*,一段,未然形,受ける,ウケ,ウケ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
病気	名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
闘う	動詞,自立,*,*,五段・ワ行促音便,基本形,闘う,タタカウ,タタカウ
患者	名詞,一般,*,*,*,*,患者,カンジャ,カンジャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
思い	名詞,一般,*,*,*,*,思い,オモイ,オモイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応え	動詞,自立,*,*,一段,連用形,応える,コタエ,コタエ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
申出	動詞,自立,*,*,一段,連用形,申出る,モウシデ,モーシデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
基づい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,基づく,モトヅイ,モトズイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
最先端	名詞,一般,*,*,*,*,最先端,サイセンタン,サイセンタン
医療	名詞,一般,*,*,*,*,医療,イリョウ,イリョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
保険診療	名詞,固有名詞,一般,*,*,*,保険診療,ホケンシンリョウ,ホケンシンリョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
併用	名詞,サ変接続,*,*,*,*,併用,ヘイヨウ,ヘイヨー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
可能	名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
更に	副詞,助詞類接続,*,*,*,*,更に,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
安全性	名詞,固有名詞,一般,*,*,*,安全性,アンゼンセイ,アンゼンセイ
、	記号,読点,*,*,*,*,、,、,、
有効	名詞,形容動詞語幹,*,*,*,*,有効,ユウコウ,ユーコー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
確立	名詞,サ変接続,*,*,*,*,確立,カクリツ,カクリツ
すれ	動詞,自立,*,*,サ変・スル,仮定形,する,スレ,スレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
、	記号,読点,*,*,*,*,、,、,、
国民皆保険	名詞,固有名詞,一般,*,*,*,国民皆保険,コクミンカイホケン,コクミンカイホケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
下	名詞,一般,*,*,*,*,下,シタ,シタ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
保険	名詞,一般,*,*,*,*,保険,ホケン,ホケン
適用	名詞,サ変接続,*,*,*,*,適用,テキヨウ,テキヨー
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
まいり	動詞,自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
医療法人	名詞,固有名詞,一般,*,*,*,医療法人,イリョウホウジン,イリョウホウジン
制度	名詞,一般,*,*,*,*,制度,セイド,セイド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
も	助詞,係助詞,*,*,*,*,も,モ,モ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
外部監査	名詞,固有名詞,一般,*,*,*,外部監査,ガイブカンサ,ガイブカンサ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
経営	名詞,サ変接続,*,*,*,*,経営,ケイエイ,ケイエイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
透明	名詞,形容動詞語幹,*,*,*,*,透明,トウメイ,トーメイ
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
更に	副詞,助詞類接続,*,*,*,*,更に,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
異なる	動詞,自立,*,*,五段・ラ行,基本形,異なる,コトナル,コトナル
機能	名詞,サ変接続,*,*,*,*,機能,キノウ,キノー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
持つ	動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ
複数	名詞,一般,*,*,*,*,複数,フクスウ,フクスー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
医療法人	名詞,固有名詞,一般,*,*,*,医療法人,イリョウホウジン,イリョウホウジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
連携	名詞,サ変接続,*,*,*,*,連携,レンケイ,レンケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
促す	動詞,自立,*,*,五段・サ行,基本形,促す,ウナガス,ウナガス
新た	名詞,形容動詞語幹,*,*,*,*,新た,アラタ,アラタ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
仕組み	名詞,一般,*,*,*,*,仕組み,シクミ,シクミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
創設	名詞,サ変接続,*,*,*,*,創設,ソウセツ,ソーセツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
地域医療	名詞,固有名詞,一般,*,*,*,地域医療,チイキイリョウ,チイキイリョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
充実	名詞,サ変接続,*,*,*,*,充実,ジュウジツ,ジュージツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
努め	動詞,自立,*,*,一段,連用形,努める,ツトメ,ツトメ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
電力	名詞,一般,*,*,*,*,電力,デンリョク,デンリョク
システム	名詞,一般,*,*,*,*,システム,システム,システム
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
も	助詞,係助詞,*,*,*,*,も,モ,モ
、	記号,読点,*,*,*,*,、,、,、
いよいよ	副詞,一般,*,*,*,*,いよいよ,イヨイヨ,イヨイヨ
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
段階	名詞,一般,*,*,*,*,段階,ダンカイ,ダンカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
入り	動詞,自立,*,*,五段・ラ行,連用形,入る,ハイリ,ハイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
電力	名詞,一般,*,*,*,*,電力,デンリョク,デンリョク
市場	名詞,一般,*,*,*,*,市場,シジョウ,シジョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
基盤	名詞,一般,*,*,*,*,基盤,キバン,キバン
インフラ	名詞,一般,*,*,*,*,インフラ,インフラ,インフラ
である	名詞,固有名詞,一般,*,*,*,である,デアル,デアル
送配	名詞,サ変接続,*,*,*,*,送配,ソウハイ,ソーハイ
電	名詞,接尾,一般,*,*,*,電,デン,デン
ネットワーク	名詞,一般,*,*,*,*,ネットワーク,ネットワーク,ネットワーク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
発電	名詞,サ変接続,*,*,*,*,発電,ハツデン,ハツデン
、	記号,読点,*,*,*,*,、,、,、
小売	名詞,サ変接続,*,*,*,*,小売,コウリ,コウリ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
分離	名詞,サ変接続,*,*,*,*,分離,ブンリ,ブンリ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
も	助詞,係助詞,*,*,*,*,も,モ,モ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
公平	名詞,形容動詞語幹,*,*,*,*,公平,コウヘイ,コーヘイ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
アクセス	名詞,サ変接続,*,*,*,*,アクセス,アクセス,アクセス
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
ガス事業	名詞,固有名詞,一般,*,*,*,ガス事業,ガスジギョウ,ガスジギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
小売	名詞,サ変接続,*,*,*,*,小売,コウリ,コウリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
全面自由化	名詞,固有名詞,一般,*,*,*,全面自由化,ゼンメンジユウカ,ゼンメンジユウカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
あらゆる	連体詞,*,*,*,*,*,あらゆる,アラユル,アラユル
参入障壁	名詞,固有名詞,一般,*,*,*,参入障壁,サンニュウショウヘキ,サンニュウショウヘキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り除い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,取り除く,トリノゾイ,トリノゾイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
競争	名詞,サ変接続,*,*,*,*,競争,キョウソウ,キョーソー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
、	記号,読点,*,*,*,*,、,、,、
ダイナミック	名詞,形容動詞語幹,*,*,*,*,ダイナミック,ダイナミック,ダイナミック
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
市場	名詞,一般,*,*,*,*,市場,シジョウ,シジョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
創り	動詞,自立,*,*,五段・ラ行,連用形,創る,ツクリ,ツクリ
上げ	動詞,自立,*,*,一段,連用形,上げる,アゲ,アゲ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
低廉	名詞,形容動詞語幹,*,*,*,*,低廉,テイレン,テイレン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
、	記号,読点,*,*,*,*,、,、,、
安定	名詞,形容動詞語幹,*,*,*,*,安定,アンテイ,アンテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
電力	名詞,一般,*,*,*,*,電力,デンリョク,デンリョク
供給	名詞,サ変接続,*,*,*,*,供給,キョウキュウ,キョーキュー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
経済	名詞,一般,*,*,*,*,経済,ケイザイ,ケイザイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
生命線	名詞,固有名詞,一般,*,*,*,生命線,セイメイセン,セイメイセン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
責任	名詞,一般,*,*,*,*,責任,セキニン,セキニン
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
エネルギー	名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
政策	名詞,一般,*,*,*,*,政策,セイサク,セイサク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
燃料	名詞,一般,*,*,*,*,燃料,ネンリョウ,ネンリョー
輸入	名詞,サ変接続,*,*,*,*,輸入,ユニュウ,ユニュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
著しい	形容詞,自立,*,*,形容詞・イ段,基本形,著しい,イチジルシイ,イチジルシイ
増大	名詞,サ変接続,*,*,*,*,増大,ゾウダイ,ゾーダイ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
電気料金	名詞,固有名詞,一般,*,*,*,電気料金,デンキリョウキン,デンキリョウキン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
上昇	名詞,サ変接続,*,*,*,*,上昇,ジョウショウ,ジョーショー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
国民	名詞,一般,*,*,*,*,国民,コクミン,コクミン
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
中小	名詞,一般,*,*,*,*,中小,チュウショウ,チューショー
・	記号,一般,*,*,*,*,・,・,・
小規模	名詞,形容動詞語幹,*,*,*,*,小規模,ショウキボ,ショーキボ
事業	名詞,一般,*,*,*,*,事業,ジギョウ,ジギョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
大きな	連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ
負担	名詞,サ変接続,*,*,*,*,負担,フタン,フタン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
原子力規制委員会	名詞,固有名詞,一般,*,*,*,原子力規制委員会,ゲンシリョクキセイイインカイ,ゲンシリョクキセイイインカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
新	接頭詞,名詞接続,*,*,*,*,新,シン,シン
規制	名詞,サ変接続,*,*,*,*,規制,キセイ,キセイ
基準	名詞,一般,*,*,*,*,基準,キジュン,キジュン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
適合	名詞,サ変接続,*,*,*,*,適合,テキゴウ,テキゴー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
認め	動詞,自立,*,*,一段,連用形,認める,ミトメ,ミトメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
原発	名詞,一般,*,*,*,*,原発,ゲンパツ,ゲンパツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
科学	名詞,一般,*,*,*,*,科学,カガク,カガク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
・	記号,一般,*,*,*,*,・,・,・
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
判断	名詞,サ変接続,*,*,*,*,判断,ハンダン,ハンダン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
尊重	名詞,サ変接続,*,*,*,*,尊重,ソンチョウ,ソンチョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
再	接頭詞,名詞接続,*,*,*,*,再,サイ,サイ
稼働	名詞,サ変接続,*,*,*,*,稼働,カドウ,カドー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
国	名詞,一般,*,*,*,*,国,クニ,クニ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
しっかり	副詞,助詞類接続,*,*,*,*,しっかり,シッカリ,シッカリ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
避難	名詞,サ変接続,*,*,*,*,避難,ヒナン,ヒナン
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
整備	名詞,サ変接続,*,*,*,*,整備,セイビ,セイビ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
立地	名詞,一般,*,*,*,*,立地,リッチ,リッチ
自治体	名詞,一般,*,*,*,*,自治体,ジチタイ,ジチタイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
始め	名詞,副詞可能,*,*,*,*,始め,ハジメ,ハジメ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
理解	名詞,サ変接続,*,*,*,*,理解,リカイ,リカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得る	動詞,自立,*,*,一段,基本形,得る,エル,エル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
、	記号,読点,*,*,*,*,、,、,、
丁寧	名詞,形容動詞語幹,*,*,*,*,丁寧,テイネイ,テイネイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
長期	名詞,一般,*,*,*,*,長期,チョウキ,チョーキ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
原発	名詞,一般,*,*,*,*,原発,ゲンパツ,ゲンパツ
依存	名詞,サ変接続,*,*,*,*,依存,イゾン,イゾン
度	名詞,接尾,一般,*,*,*,度,ド,ド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
低減	名詞,サ変接続,*,*,*,*,低減,テイゲン,テイゲン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
と	助詞,格助詞,引用,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
変わり	動詞,自立,*,*,五段・ラ行,連用形,変わる,カワリ,カワリ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
あらゆる	連体詞,*,*,*,*,*,あらゆる,アラユル,アラユル
施策	名詞,サ変接続,*,*,*,*,施策,シサク,シサク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
総動員	名詞,一般,*,*,*,*,総動員,ソウドウイン,ソードーイン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
徹底	名詞,サ変接続,*,*,*,*,徹底,テッテイ,テッテイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
省エネルギー	名詞,一般,*,*,*,*,省エネルギー,ショウエネルギー,ショーエネルギー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
再生可能エネルギー	名詞,固有名詞,一般,*,*,*,再生可能エネルギー,サイセイカノウエネルギー,サイセイカノウエネルギー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
最大限	名詞,一般,*,*,*,*,最大限,サイダイゲン,サイダイゲン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
導入	名詞,サ変接続,*,*,*,*,導入,ドウニュウ,ドーニュー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
まいり	動詞,非自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
EOS
EOS
安倍内閣	名詞,固有名詞,一般,*,*,*,安倍内閣,アベナイカク,アベナイカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規制	名詞,サ変接続,*,*,*,*,規制,キセイ,キセイ
改革	名詞,サ変接続,*,*,*,*,改革,カイカク,カイカク
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
、	記号,読点,*,*,*,*,、,、,、
昨年	名詞,副詞可能,*,*,*,*,昨年,サクネン,サクネン
、	記号,読点,*,*,*,*,、,、,、
夢	名詞,一般,*,*,*,*,夢,ユメ,ユメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
水素	名詞,一般,*,*,*,*,水素,スイソ,スイソ
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
幕	名詞,一般,*,*,*,*,幕,マク,マク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
開き	動詞,自立,*,*,五段・カ行イ音便,連用形,開く,ヒラキ,ヒラキ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
全国	名詞,一般,*,*,*,*,全国,ゼンコク,ゼンコク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
水素ステーション	名詞,固有名詞,一般,*,*,*,水素ステーション,スイソステーション,スイソステーション
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
整備	名詞,サ変接続,*,*,*,*,整備,セイビ,セイビ
